Marcelo Pires Halzhausen Airport,SA,BR,AIF
Yalinga Airport,AF,CF,AIG
Aiambak Airport,OC,PG,AIH
Ali-Sabieh Airport,AF,DJ,AII
Aiken Municipal Airport,NA,US,AIK
Alligandi Airport,NA,PA,AIL
Ailuk Airport,OC,MH,AIM
Wainwright Airport,NA,US,AIN
Atlantic Municipal Airport,NA,US,AIO
Adampur Airport,AS,IN,AIP
Aripuaṇ Airport,SA,BR,AIR
Arorae Island Airport,OC,KI,AIS
Aitutaki Airport,OC,CK,AIT
Enua Airport,OC,CK,AIU
George Downer Airport,NA,US,AIV
Ai-Ais Airport,AF,NA,AIW
Atlantic City Municipal Bader Field,NA,US,AIY
Lee C Fine Memorial Airport,NA,US,AIZ
Ajaccio-Napol̩on Bonaparte Airport,EU,FR,AJA
Al-Jawf Domestic Airport,AS,SA,AJF
A��r�� Airport,AS,TR,AJI
Akjoujt Airport,AF,MR,AJJ
Arak Airport,AS,IR,AJK
Lengpui Airport,AS,IN,AJL
Ouani Airport,AF,KM,AJN
Arvidsjaur Airport,EU,SE,AJR
Abreojos Airport,NA,MX,AJS
Santa Maria Airport,SA,BR,AJU
Mano Dayak International Airport,AF,NE,AJY
Ankang Wulipu Airport,AS,CN,AKA
Atka Airport,NA,US,AKB
Akron Fulton International Airport,NA,US,AKC
Akola Airport,AS,IN,AKD
Akieni Airport,AF,GA,AKE
Kufra Airport,AF,LY,AKF
Anguganak Airport,OC,PG,AKG
Prince Sultan Air Base,AS,SA,AKH
Akiak Airport,NA,US,AKI
Asahikawa Airport,AS,JP,AKJ
Akhiok Airport,NA,US,AKK
Auckland International Airport,OC,NZ,AKL
Zakuoma Airport,AF,TD,AKM
King Salmon Airport,NA,US,AKN
Colorado Plains Regional Airport,NA,US,AKO
Anaktuvuk Pass Airport,NA,US,AKP
Gunung Batin Airport,AS,ID,AKQ
Akure Airport,AF,NG,AKR
Gwaunaru'u Airport,OC,SB,AKS
RAF Akrotiri,EU,GB,AKT
Aksu Airport,AS,CN,AKU
Akulivik Airport,NA,CA,AKV
Aghajari Airport,AS,IR,AKW
Aktobe Airport,AS,KZ,AKX
Sittwe Airport,AS,MM,AKY
Almaty Airport,AS,KZ,ALA
Albany International Airport,NA,US,ALB
Alicante International Airport,EU,ES,ALC
Alerta Airport,SA,PE,ALD
Alpine Casparis Municipal Airport,NA,US,ALE
Alta Airport,EU,NO,ALF
Houari Boumediene Airport,AF,DZ,ALG
Albany Airport,OC,AU,ALH
Alice International Airport,NA,US,ALI
Alexander Bay Airport,AF,ZA,ALJ
Villanova D'Albenga International Airport,EU,IT,ALL
Alamogordo White Sands Regional Airport,NA,US,ALM
St Louis Regional Airport,NA,US,ALN
Waterloo Regional Airport,NA,US,ALO
Aleppo International Airport,AS,SY,ALP
Alegrete Novo Airport,SA,BR,ALQ
Alexandra Airport,OC,NZ,ALR
San Luis Valley Regional Bergman Field,NA,US,ALS
Alenquer Airport,SA,BR,ALT
Alula Airport,AF,SO,ALU
Andorra la Vella Heliport,EU,AD,ALV
Walla Walla Regional Airport,NA,US,ALW
Thomas C Russell Field,NA,US,ALX
El Nouzha Airport,AF,EG,ALY
Alitak Seaplane Base,NA,US,ALZ
Rick Husband Amarillo International Airport,NA,US,AMA
Ambilobe Airport,AF,MG,AMB
Am Timan Airport,AF,TD,AMC
Sardar Vallabhbhai Patel International Airport,AS,IN,AMD
Alto Molocue Airport,AF,MZ,AME
Ama Airport,OC,PG,AMF
Arba Minch Airport,AF,ET,AMH
Selaparang Airport,AS,ID,AMI
Cirilo Queir�_z Airport,SA,BR,AMJ
Animas Air Park,NA,US,AMK
Puerto Armuelles Airport,NA,PA,AML
Queen Alia International Airport,AS,JO,AMM
Gratiot Community Airport,NA,US,AMN
Mao Airport,AF,TD,AMO
Ampanihy Airport,AF,MG,AMP
"Pattimura Airport, Ambon",AS,ID,AMQ
Amsterdam Airport Schiphol,EU,NL,AMS
Amata Airport,OC,AU,AMT
Amanab Airport,OC,PG,AMU
Amderma Airport,AS,RU,AMV
Ames Municipal Airport,NA,US,AMW
Ammaroo Airport,OC,AU,AMX
Ambatomainty Airport,AF,MG,AMY
Ardmore Airport,OC,NZ,AMZ
Angama Airport,AF,KE,ANA
Anniston Metropolitan Airport,NA,US,ANB
Ted Stevens Anchorage International Airport,NA,US,ANC
Anderson Regional Airport,NA,US,AND
Angers-Loire Airport,EU,FR,ANE
Cerro Moreno Airport,SA,CL,ANF
Angoul̻me-Brie-Champniers Airport,EU,FR,ANG
Anuha Island Resort Airport,OC,SB,ANH
Aniak Airport,NA,US,ANI
Zanaga Airport,AF,CG,ANJ
Etimesgut Air Base,AS,TR,ANK
Andulo Airport,AF,AO,ANL
Antsirabato Airport,AF,MG,ANM
Annette Island Airport,NA,US,ANN
Angoche Airport,AF,MZ,ANO
Lee Airport,NA,US,ANP
Tri State Steuben County Airport,NA,US,ANQ
Antwerp International Airport (Deurne),EU,BE,ANR
Andahuaylas Airport,SA,PE,ANS
V.C. Bird International Airport,NA,AG,ANU
Anvik Airport,NA,US,ANV
Ainsworth Municipal Airport,NA,US,ANW
And��ya Airport,EU,NO,ANX
Anthony Municipal Airport,NA,US,ANY
Angus Downs Airport,OC,AU,ANZ
Aroa Airport,OC,PG,AOA
Annanberg Airport,OC,PG,AOB
Altenburg-Nobitz Airport,EU,DE,AOC
Abou-De��a Airport,AF,TD,AOD
Anadolu Airport,AS,TR,AOE
Anshan Air Base,AS,CN,AOG
Lima Allen County Airport,NA,US,AOH
Ancona Falconara Airport,EU,IT,AOI
Aomori Airport,AS,JP,AOJ
Karpathos Airport,EU,GR,AOK
Paso De Los Libres Airport,SA,AR,AOL
Adam Airport,AS,OM,AOM
Altoona Blair County Airport,NA,US,AOO
Alferez FAP Alfredo Vladimir Sara Bauer Airport,SA,PE,AOP
Sultan Abdul Halim Airport,AS,MY,AOR
Amook Bay Seaplane Base,NA,US,AOS
Aosta Airport,EU,IT,AOT
Attopeu Airport,AS,LA,AOU
Centennial Airport,NA,US,APA
Apolo Airport,SA,BO,APB
Napa County Airport,NA,US,APC
San Juan Aposento Airport,SA,PE,APE
Naples Municipal Airport,NA,US,APF
Phillips Army Air Field,NA,US,APG
A P Hill AAF (Fort A P Hill) Airport,NA,US,APH
Gomez Nino Apiay Air Base,SA,CO,API
Apataki Airport,OC,PF,APK
Nampula Airport,AF,MZ,APL
Alpena County Regional Airport,NA,US,APN
Antonio Roldan Betancourt Airport,SA,CO,APO
Asapa Airport,OC,PG,APP
Arapiraca Airport,SA,BR,APQ
April River Airport,OC,PG,APR
An��polis Airport,SA,BR,APS
Marion County Brown Field,NA,US,APT
Captain Jọo Busse Airport,SA,BR,APU
Apple Valley Airport,NA,US,APV
Faleolo International Airport,OC,WS,APW
Arapongas Airport,SA,BR,APX
Alto Parna�_ba Airport,SA,BR,APY
Zapala Airport,SA,AR,APZ
Araraquara Airport,SA,BR,AQA
Santa Cruz del Quiche Airport,NA,GT,AQB
Anqing Tianzhushan Airport,AS,CN,AQG
Al Qaisumah/Hafr Al Batin Airport,AS,SA,AQI
Aqaba King Hussein International Airport,AS,JO,AQJ
Nova Vida Airport,SA,BR,AQM
Rodr�_guez Ball�_n International Airport,SA,PE,AQP
Zaffre,AS,SY,AQQ
Biaugunu Airport,OC,FJ,AQS
Girdwood Airport,NA,US,AQY
Acadiana Regional Airport,NA,US,ARA
Ann Arbor Municipal Airport,NA,US,ARB
Arctic Village Airport,NA,US,ARC
Mali Airport,AS,ID,ARD
Antonio Nery Juarbe Pol Airport,NA,PR,ARE
Acaricuara Airport,SA,CO,ARF
Walnut Ridge Regional Airport,NA,US,ARG
Talagi Airport,EU,RU,ARH
Chacalluta Airport,SA,CL,ARI
Arso Airport,AS,ID,ARJ
Arusha Airport,AF,TZ,ARK
Arly Airport,AF,BF,ARL
Armidale Airport,OC,AU,ARM
Stockholm-Arlanda Airport,EU,SE,ARN
Arboletes Airport,SA,CO,ARO
Aragip Airport,OC,PG,ARP
El Troncal Airport,SA,CO,ARQ
D. Casimiro Szlapelis Airport,SA,AR,ARR
Aragar̤as Airport,SA,BR,ARS
Watertown International Airport,NA,US,ART
Ara̤atuba Airport,SA,BR,ARU
Lakeland-Noble F. Lee Memorial field,NA,US,ARV
Arad International Airport,EU,RO,ARW
Asbury Park Neptune Air Terminal,NA,US,ARX
Ararat Airport,OC,AU,ARY
N'zeto Airport,AF,AO,ARZ
Assab International Airport,AF,ER,ASA
Ashgabat Airport,AS,TM,ASB
Ascenci�_n De Guarayos Airport,SA,BO,ASC
Andros Town Airport,NA,BS,ASD
Aspen-Pitkin Co/Sardy Field,NA,US,ASE
Astrakhan Airport,EU,RU,ASF
Ashburton Aerodrome,OC,NZ,ASG
Boire Field,NA,US,ASH
RAF Ascension Island,AF,SH,ASI
Amami Airport,AS,JP,ASJ
Yamoussoukro Airport,AF,CI,ASK
Harrison County Airport,NA,US,ASL
Asmara International Airport,AF,ER,ASM
Talladega Municipal Airport,NA,US,ASN
Asosa Airport,AF,ET,ASO
Alice Springs Airport,OC,AU,ASP
Austin Airport,NA,US,ASQ
Kayseri Erkilet Airport,AS,TR,ASR
Arathusa Safari Lodge Airport,AF,ZA,ASS
Astoria Regional Airport,NA,US,AST
Silvio Pettirossi International Airport,SA,PY,ASU
Amboseli Airport,AF,KE,ASV
Aswan International Airport,AF,EG,ASW
John F Kennedy Memorial Airport,NA,US,ASX
Ashley Municipal Airport,NA,US,ASY
Asirim Airport,OC,PG,ASZ
Comandante FAP German Arias Graziani Airport,SA,PE,ATA
Atbara Airport,AF,SD,ATB
Arthur's Town Airport,NA,BS,ATC
Uru Harbour Airport,OC,SB,ATD
Antlers Municipal Airport,NA,US,ATE
Chacho��n Airport,SA,EC,ATF
Minhas Air Base,AS,PK,ATG
Eleftherios Venizelos International Airport,EU,GR,ATH
Artigas International Airport,SA,UY,ATI
Antsirabe Airport,AF,MG,ATJ
Atqasuk Edward Burnell Sr Memorial Airport,NA,US,ATK
Hartsfield Jackson Atlanta International Airport,NA,US,ATL
Altamira Airport,SA,BR,ATM
Namatanai Airport,OC,PG,ATN
Ohio University Snyder Field,NA,US,ATO
Aitape Airport,OC,PG,ATP
Sri Guru Ram Dass Jee International Airport,AS,IN,ATQ
Atar International Airport,AF,MR,ATR
Artesia Municipal Airport,NA,US,ATS
Atmautluak Airport,NA,US,ATT
Casco Cove Coast Guard Station,NA,US,ATU
Ati Airport,AF,TD,ATV
Appleton International Airport,NA,US,ATW
Atbasar Airport,AS,KZ,ATX
Watertown Regional Airport,NA,US,ATY
Assiut International Airport,AF,EG,ATZ
Queen Beatrix International Airport,NA,AW,AUA
Santiago Perez Airport,SA,CO,AUC
Augustus Downs Airport,OC,AU,AUD
Abu Rudeis Airport,AS,EG,AUE
Auxerre-Branches Airport,EU,FR,AUF
Augusta State Airport,NA,US,AUG
Abu Dhabi International Airport,AS,AE,AUH
Aua Island Airport,OC,PG,AUI
Ambunti Airport,OC,PG,AUJ
Alakanuk Airport,NA,US,AUK
Aur Island Airport,OC,MH,AUL
Austin Municipal Airport,NA,US,AUM
Auburn Municipal Airport,NA,US,AUN
Auburn Opelika Robert G. Pitts Airport,NA,US,AUO
Agaun Airport,OC,PG,AUP
Hiva Oa-Atuona Airport,OC,PF,AUQ
Aurillac Airport,EU,FR,AUR
Austin Robert Mueller Municipal,NA,US,AUS
Austin Bergstrom International Airport,NA,US,AUS
Atauro Airport,AS,TL,AUT
Aurukun Airport,OC,AU,AUU
Aumo Airport,OC,PG,AUV
Wausau Downtown Airport,NA,US,AUW
Aragua�_na Airport,SA,BR,AUX
Aneityum Airport,OC,VU,AUY
Aurora Municipal Airport,NA,US,AUZ
Anshun Huangguoshu Airport,AS,CN,AVA
Aviano Air Base,EU,IT,AVB
Auvergne Airport,OC,AU,AVG
Maximo Gomez Airport,NA,CU,AVI
Arvaikheer Airport,AS,MN,AVK
Asheville Regional Airport,NA,US,AVL
Avignon-Caumont Airport,EU,FR,AVN
Avon Park Executive Airport,NA,US,AVO
Wilkes Barre Scranton International Airport,NA,US,AVP
Alverca Air Base,EU,PT,AVR
Avu Avu Airport,OC,SB,AVU
Avalon Airport,OC,AU,AVV
Marana Regional Airport,NA,US,AVW
Catalina Airport,NA,US,AVX
Awassa Airport,AF,ET,AWA
Awaba Airport,OC,PG,AWB
Aniwa Airport,OC,VU,AWD
Alowe Airport,AF,GA,AWE
Wake Island Airfield,OC,UM,AWK
West Memphis Municipal Airport,NA,US,AWM
Alton Downs Airport,OC,AU,AWN
Austral Downs Airport,OC,AU,AWP
Awar Airport,OC,PG,AWR
Ahwaz Airport,AS,IR,AWZ
Wallblake Airport,NA,AI,AXA
Maxson Airfield,NA,US,AXB
Aramac Airport,OC,AU,AXC
Dimokritos Airport,EU,GR,AXD
Xanxer̻ Airport,SA,BR,AXE
Alxa Left Banner Bayanhot Airport,AS,CN,AXF
Algona Municipal Airport,NA,US,AXG
Amakusa Airport,AS,JP,AXJ
Ataq Airport,AS,YE,AXK
Alexandria Homestead Airport,OC,AU,AXL
El Eden Airport,SA,CO,AXM
Chandler Field,NA,US,AXN
Spring Point Airport,NA,BS,AXP
Arutua Airport,OC,PF,AXR
Altus Quartz Mountain Regional Airport,NA,US,AXS
Akita Airport,AS,JP,AXT
Axum Airport,AF,ET,AXU
Neil Armstrong Airport,NA,US,AXV
Angel Fire Airport,NA,US,AXX
Ayapel Airport,SA,CO,AYA
Ayacucho Airport,SA,CO,AYC
Alroy Downs Airport,OC,AU,AYD
Ft Devens Moore Army Air Field,NA,US,AYE
Yaguara Airport,SA,CO,AYG
RAF Alconbury,EU,GB,AYH
Yari Airport,SA,CO,AYI
Arkalyk North Airport,AS,KZ,AYK
Anthony Lagoon Airport,OC,AU,AYL
Yas Island Seaplane Base,AS,AE,AYM
Anyang Airport,AS,CN,AYN
Juan De Ayolas Airport,SA,PY,AYO
Coronel FAP Alfredo Mendivil Duarte Airport,SA,PE,AYP
Ayers Rock Connellan Airport,OC,AU,AYQ
Ayr Airport,OC,AU,AYR
Waycross Ware County Airport,NA,US,AYS
Antalya International Airport,AS,TR,AYT
Aiyura Airport,OC,PG,AYU
Ayawasi Airport,AS,ID,AYW
Arugam Bay SPB,AS,LK,AYY
Zahn's Airport,NA,US,AYZ
Phoenix-Mesa-Gateway Airport,NA,US,AZA
Amazon Bay Airport,OC,PG,AZB
Shahid Sadooghi Airport,AS,IR,AZD
Pablo L. Sidar Airport,NA,MX,AZG
Bateen Airport,AS,AE,AZI
Fazenda Tucunar̩ Airport,SA,BR,AZL
Andizhan Airport,AS,UZ,AZN
Kalamazoo Battle Creek International Airport,NA,US,AZO
Atizapan De Zaragoza Airport,NA,MX,AZP
Touat Cheikh Sidi Mohamed Belkebir Airport,AF,DZ,AZR
Saman�� El Catey International Airport,NA,DO,AZS
Zapatoca Airport,SA,CO,AZT
Ambriz Airport,AF,AO,AZZ
Bialla Airport,OC,PG,BAA
Beale Air Force Base,NA,US,BAB
Barranca De Upia Airport,SA,CO,BAC
Barksdale Air Force Base,NA,US,BAD
Barcelonnette - Saint-Pons Airport,EU,FR,BAE
Westfield-Barnes Regional Airport,NA,US,BAF
Loakan Airport,AS,PH,BAG
Bahrain International Airport,AS,BH,BAH
Buenos Aires Airport,NA,CR,BAI
Bali Airport,OC,PG,BAJ
Batman Airport,AS,TR,BAL
Battle Mountain Airport,NA,US,BAM
Basongo Airport,AF,CD,BAN
Udorn Air Base,AS,TH,BAO
Baibara Airport,OC,PG,BAP
Ernesto Cortissoz International Airport,SA,CO,BAQ
Qionghai Bo'ao Airport,AS,CN,BAR
Ballalae Airport,OC,SB,BAS
Chafei Amsei Airport,SA,BR,BAT
Bauru Airport,SA,BR,BAU
Baotou Airport,AS,CN,BAV
Barnaul Airport,AS,RU,BAX
Tautii Magheraus Airport,EU,RO,BAY
Barcelos Airport,SA,BR,BAZ
Balmaceda Airport,SA,CL,BBA
Benson Municipal Airport,NA,US,BBB
Bay City Municipal Airport,NA,US,BBC
Curtis Field,NA,US,BBD
Big Bell Airport,OC,AU,BBE
Butaritari Atoll Airport,OC,KI,BBG
Barth Airport,EU,DE,BBH
Biju Patnaik Airport,AS,IN,BBI
Bitburg Airport,EU,DE,BBJ
Kasane Airport,AF,BW,BBK
Ballera Airport,OC,AU,BBL
Battambang Airport,AS,KH,BBM
Bario Airport,AS,MY,BBN
Berbera Airport,AF,SO,BBO
Bembridge Airport,EU,GB,BBP
Codrington Airport,NA,AG,BBQ
Baillif Airport,NA,GP,BBR
Blackbushe Airport,EU,GB,BBS
Berb̩rati Airport,AF,CF,BBT
B��neasa International Airport,EU,RO,BBU
Nero-Mer Airport,AF,CI,BBV
Broken Bow Municipal Airport,NA,US,BBW
Wings Field,NA,US,BBX
Bambari Airport,AF,CF,BBY
Zambezi Airport,AF,ZM,BBZ
Gustavo Rizo Airport,NA,CU,BCA
Virginia Tech Montgomery Executive Airport,NA,US,BCB
Bear Creek 3 Airport,NA,US,BCC
Bacolod-Silay Airport,AS,PH,BCD
Bryce Canyon Airport,NA,US,BCE
Bouca Airport,AF,CF,BCF
Bemichi Airport,SA,GY,BCG
Cakung Airport,AS,TL,BCH
Barcaldine Airport,OC,AU,BCI
Baca Grande Airfield,NA,US,BCJ
[Duplicate] Bolwarra Airport,OC,AU,BCK
Bolwarra Airport,OC,AU,BCK
Barra del Colorado Airport,NA,CR,BCL
Bac��u Airport,EU,RO,BCM
Barcelona International Airport,EU,ES,BCN
Baco Airport,AF,ET,BCO
Bambu Airport,OC,PG,BCP
Brak Airport,AF,LY,BCQ
Novo Campo Airport,SA,BR,BCR
Southern Seaplane Airport,NA,US,BCS
Boca Raton Airport,NA,US,BCT
Sir Abubakar Tafawa Balewa International Airport,AF,NG,BCU
Hector Silva Airstrip,NA,BZ,BCV
Benguera Island Airport,AF,MZ,BCW
Beloretsk Airport,EU,RU,BCX
Milyakburra Airport,OC,AU,BCZ
L.F. Wade International International Airport,NA,BM,BDA
Bundaberg Airport,OC,AU,BDB
Barra do Corda Airport,SA,BR,BDC
Badu Island Airport,OC,AU,BDD
Baudette International Airport,NA,US,BDE
Rinkenberger Restricted Landing Area,NA,US,BDF
Blanding Municipal Airport,NA,US,BDG
Bandar Lengeh Airport,AS,IR,BDH
Bird Island Airport,AF,SC,BDI
Syamsudin Noor Airport,AS,ID,BDJ
Soko Airport,AF,CI,BDK
Bradley International Airport,NA,US,BDL
Band��rma Airport,AS,TR,BDM
Talhar Airport,AS,PK,BDN
Husein Sastranegara International Airport,AS,ID,BDO
Bhadrapur Airport,AS,NP,BDP
Vadodara Airport,AS,IN,BDQ
Igor I Sikorsky Memorial Airport,NA,US,BDR
Brindisi ��� Salento Airport,EU,IT,BDS
Gbadolite Airport,AF,CD,BDT
Bardufoss Airport,EU,NO,BDU
Moba Airport,AF,CD,BDV
Bedford Downs Airport,OC,AU,BDW
Broadus Airport,NA,US,BDX
Bandon State Airport,NA,US,BDY
Baindoung Airport,OC,PG,BDZ
Bereina Airport,OC,PG,BEA
Benbecula Airport,EU,GB,BEB
Beech Factory Airport,NA,US,BEC
Laurence G Hanscom Field,NA,US,BED
Beagle Bay Airport,OC,AU,BEE
Bluefields Airport,NA,NI,BEF
Belgrade Nikola Tesla Airport,EU,RS,BEG
Southwest Michigan Regional Airport,NA,US,BEH
Beica Airport,AF,ET,BEI
Kalimarau Airport,AS,ID,BEJ
Bareilly Air Force Station,AS,IN,BEK
Val de Cans/J̼lio Cezar Ribeiro International Airport,SA,BR,BEL
Beni Mellal Airport,AF,MA,BEM
Benina International Airport,AF,LY,BEN
Lake Macquarie Airport,OC,AU,BEO
Bellary Airport,AS,IN,BEP
RAF Honington,EU,GB,BEQ
Berlin Brandenburg Airport (U.C.),EU,DE,BER
Brest Bretagne Airport,EU,FR,BES
Bethel Airport,NA,US,BET
Bedourie Airport,OC,AU,BEU
Beersheba (Teyman) Airport,AS,IL,BEV
Beira Airport,AF,MZ,BEW
RAF Benson,EU,GB,BEX
Beirut Rafic Hariri International Airport,AS,LB,BEY
Beru Airport,OC,KI,BEZ
Bah�_a Negra Airport,SA,PY,BFA
[Duplicate] Bloomfield Airport,OC,AU,BFC
Bloomfield River Airport,OC,AU,BFC
Bradford Regional Airport,NA,US,BFD
Bielefeld Airport,EU,DE,BFE
Western Neb. Rgnl/William B. Heilig Airport,NA,US,BFF
Bullfrog Basin Airport,NA,US,BFG
Bacacheri Airport,SA,BR,BFH
Boeing Field King County International Airport,NA,US,BFI
Bijie Feixiong Airport,AS,CN,BFJ
Buckley Air Force Base,NA,US,BFK
Meadows Field,NA,US,BFL
Mobile Downtown Airport,NA,US,BFM
Bram Fischer International Airport,AF,ZA,BFN
Buffalo Range Airport,AF,ZW,BFO
